Chain,Slug,Category,Areas served,Homepage,Weekly ad / circular URL,Status,Notes
88 Ranch Marketplace in Southern California,88_ranch_marketplace_in_southern_california,international,,,,needs review,No chain found by this exact name; likely garbled/duplicate entry.
99 Ranch Market,99_ranch_market,international,,https://www.99ranch.com/,https://www.99ranch.com/store-ads,resolved,Live viewer at h5.awsprod.99ranch.com/stores/ad/<id>.
Acme Markets,acme_markets,national,"Connecticut, New York, New Jersey, Pennsylvania, Delaware, Maryland",https://www.acmemarkets.com/,https://www.acmemarkets.com/weeklyad,resolved,Albertsons banner; real path /weeklyad (scraper hit /shop/deals/).
Ai Hoa Supermarket,ai_hoa_supermarket,international,,,,closed,LA Chinatown store listed CLOSED; no active site.
Albertsons,albertsons,national,"Connecticut, New York, New Jersey, Pennsylvania, Delaware, Maryland",https://www.albertsons.com/,https://www.albertsons.com/weeklyad,resolved,Albertsons /weeklyad pattern.
Aldi,aldi,discount,,https://www.aldi.us/,https://www.aldi.us/weekly-specials,resolved,"US domain is aldi.us, not aldi.com."
Amigo Supermarkets,amigo_supermarkets,local,Puerto Rico,https://www.amigo.com/,https://www.amigo.com/shopper,resolved,"PR (Pueblo). Domain amigo.com, not amigosupermarkets.com."
Arirang Market,arirang_market,international,,https://www.arirangsupermarket.com/,https://www.arirangsupermarket.com/,resolved,Weekly sales listed on homepage; no separate ad page.
Asian Food Center,asian_food_center,international,New Jersey,https://www.asianfoodmarkets.com/,https://www.asianfoodmarkets.com/,needs review,Best NJ match = 'Asian Food Markets' (new ad Fridays); name differs from 'Asian Food Center' - confirm.
ASSI Plaza,assi_plaza,international,"Georgia, Illinois, Pennsylvania",https://assimarket.com/,https://assimarket.com/weeklydeals_ga55,resolved,"Rebranded 'Assi Market'; per-location deals (e.g. /weeklydeals_ga55, /weeklydeals_pa88)."
Associated Supermarkets,associated_supermarkets,local,New York,https://www.shopassociated.com/,https://www.shopassociated.com/print-weekly-specials/,resolved,Domain shopassociated.com.
Baker's,baker_s,national,Nebraska,https://www.bakersplus.com/,https://www.bakersplus.com/weeklyad,resolved,"Kroger banner; real domain bakersplus.com, NOT bakers.com."
Big Y,big_y,local,"Massachusetts, Connecticut",https://www.bigy.com/,https://www.bigy.com/page/savings/promotions,resolved,403s scraper but live.
BJ's Wholesale Club,bjs,club,,https://www.bjs.com/,https://www.bjs.com/smartsaver,resolved,Weekly flyer = 'Smart Saver'.
BJ’s Wholesale Club,bjs_wholesale_club,national,,https://www.bjs.com/,https://www.bjs.com/smartsaver,resolved,Weekly flyer = 'Smart Saver'.
Bravo,bravo,international,"Northeast, Florida",https://www.bravosupermarkets.com/,https://www.bravosupermarkets.com/weekly-circular,resolved,Domain bravosupermarkets.com (bravo.com is the TV network).
Breadberry,breadberry,international,"New York, New Jersey",https://www.breadberry.com/,https://watsonsale.com/supermarkets/breadberry/,partial,"My Cloud Grocer site; no clean on-site ad link, specials mirrored on WatsOnSale."
Brookshire Brothers,brookshire_brothers,local,Texas,https://www.brookshirebrothers.com/,https://www.brookshirebrothers.com/weeklyad,resolved,Real path /weeklyad.
Buehler's,buehler_s,local,North-central Ohio,https://www.buehlers.com/,https://www.buehlers.com/flyers,resolved,403s scraper but live; ad at /flyers.
Busch's Fresh Food Market,busch_s_fresh_food_market,local,Michigan,https://www.buschs.com/,https://www.buschs.com/weekly-ad,resolved,"Domain buschs.com, NOT buschsfreshfoodmarket.com."
Busch’s Fresh Food Market,buschs_fresh_food_market,natural,southeastern Michigan,https://www.buschs.com/,https://www.buschs.com/weekly-ad,resolved,"Domain buschs.com, NOT buschsfreshfoodmarket.com."
C-Mart Supermarket,c_mart_supermarket,international,Boston,https://www.cmartboston.com/,https://www.cmartboston.com/,resolved,Boston Chinatown; Weekly Specials on site. (supercmart.com is a different chain.)
CAM Asian Market,cam_asian_market,international,Ohio,,,needs review,No dedicated ad site found (OH); likely Facebook-only.
Cardenas Markets,cardenas_markets,international,,https://www.cardenasmarkets.com/,https://www.cardenasmarkets.com/shop/weekly-ad/,resolved,403s scraper but live.
Cee Bee Food Stores,cee_bee_food_stores,local,"Kentucky, Tennessee",,,needs review,"No single corporate site; independently operated (e.g. tietgensfoodstores.com/ads, murphyscb.com/ads)."
City Market,city_market,national,"Colorado, Utah, Wyoming",https://www.citymarket.com/,https://www.citymarket.com/weeklyad,resolved,Kroger banner.
County Market - H.E.B,county_market_h_e_b,local,,https://www.mycountymarket.com/,https://www.mycountymarket.com/weeklyad,needs review,'County Market' = Niemann Foods (mycountymarket.com). '- H.E.B' looks like a bad merge (HEB = heb.com). Verify.
Crest Foods,crest_foods,local,Oklahoma,https://www.crestfoodsok.com/,https://www.crestfoodsok.com/nicks-picks,resolved,Domain crestfoodsok.com; flyer = 'Nick's Picks'.
Cub Foods,cub_foods,local,"Minnesota, one location in Freeport, Illinois",https://www.cub.com/,https://www.cub.com/weekly-ad,resolved,Domain cub.com.
D'Agostino Supermarkets,d_agostino_supermarkets,local,New York City,https://dagnyc.com/,https://order.dagnyc.com/store/dagnyc/collections/rc-weekly-ad,resolved,Mercatus platform (dagnyc.com).
Dierbergs Markets,dierbergs_markets,local,St. Louis area,https://www.dierbergs.com/,https://www.dierbergs.com/weekly-ads,resolved,St. Louis.
Dillons,dillons,national,Kansas,https://www.dillons.com/,https://www.dillons.com/weeklyad,banner pattern,Kroger banner (/weeklyad).
El Ahorro Supermarket,el_ahorro_supermarket,international,Texas,https://www.elahorro.net/,https://www.elahorro.net/en/specials,resolved,Houston Hispanic chain.
El Pueblo,el_pueblo,international,Newark,,,needs review,Hispanic market (Newark NJ). Small independent - likely no online circular / Facebook only.
El Rancho,el_rancho,international,,https://www.elranchoinc.com/,https://www.elranchoinc.com/ad-semanal/,resolved,El Rancho Supermercado (TX). Covers both 'El Rancho' and 'Supermercado El Rancho' rows.
El Rey,el_rey_2,international,California,https://www.elreysuper.com/,https://www.elreysuper.com/,needs review,El Rey Supermercado (CA) - different chain from WI El Rey. Verify.
El Rey,el_rey,international,Wisconsin,https://www.elreyfoods.com/,https://shopelreyfoods.com/,resolved,El Rey Foods (Milwaukee WI). Weekly deals via shopelreyfoods.com.
El Río Grande Latin Market,el_rio_grande_latin_market,international,Texas,https://elriogrande.net/,https://elriogrande.net/ad/,resolved,Dallas TX (G&W Foods).
El Super,el_super,international,"Los Angeles, Southern Nevada, Phoenix, Arizona",https://elsupermarkets.com/,https://elsupermarkets.com/weekly-ads/,resolved,Chedraui USA / El Super.
Erewhon,erewhon,local,California,https://www.erewhonmarket.com/,,no ad,No weekly circular; promotions via app/site only. Verify.
Evergreen,evergreen,international,"Monsey, Pomana, New York – Lakewood, New Jersey",https://www.evergreenkosher.com/,https://www.shopevergreenkosher.com/specials,resolved,Evergreen Kosher Market (Monsey NY / Lakewood NJ).
Fei Long Market,fei_long_market,international,New York,https://fei-long-market.com/,https://fei-long-market.com/weekly-ad,resolved,Brooklyn (Sunset Park) Chinese. (NYC/NJ Chinese flyers also aggregated at chaoshiweekly.com.)
Festival Foods,festival_foods,local,Wisconsin,https://www.festfoods.com/,https://www.festfoods.com/weekly-ad,resolved,Skogen's Festival Foods (WI). Note: separate Knowlan's Festival Foods exists in MN.
Fiesta Mart,fiesta_mart,international,Texas,https://www.fiestamart.com/,https://www.fiestamart.com/weekly-ad,needs review,TX. Homepage solid; verify exact ad path.
Food 4 Less,food_4_less,national,"California, Illinois, Indiana",https://www.food4less.com/,https://www.food4less.com/weeklyad,banner pattern,Kroger banner (/weeklyad).
Food King,food_king,local,"Colorado, New Mexico, Texas",https://www.shopfoodking.com/,https://www.shopfoodking.com/weekly-ad,resolved,Lowe's Market family (CO/NM/TX).
Food Maxx International,food_maxx_international,international,Virginia,,,needs review,VA international market (NOT the CA FoodMaxx/Save Mart chain). No confirmed site - likely Facebook only.
